Subject,Condition,PedestalContrast,TargetContrast,TargetInterval,IsCorrect,ResponseTime
P1,4,0.0,12.589,2,1,516.163
P1,2,0.0,12.589,2,1,495.395
P1,3,0.0,12.589,2,1,432.226
P1,4,0.0,12.589,2,1,625.293
P1,1,0.0,12.589,1,1,417.817
P1,1,0.0,12.589,1,1,1520.137
P1,3,0.0,12.589,2,1,318.421
P1,1,0.0,12.589,1,1,494.319
P1,4,0.0,12.589,2,1,297.404
P1,1,0.0,6.31,1,1,158.703
P1,2,0.0,12.589,2,1,454.325
P1,4,0.0,6.31,1,1,395.666
P1,4,0.0,6.31,2,0,651.052
P1,3,0.0,12.589,1,1,713.219
P1,3,0.0,6.31,2,1,375.898
P1,3,0.0,6.31,2,1,333.497
P1,1,0.0,6.31,1,1,699.23
P1,2,0.0,12.589,1,1,379.055
P1,1,0.0,6.31,2,1,506.082
P1,2,0.0,6.31,1,1,454.923
P1,1,0.0,3.162,2,1,544.416
P1,2,0.0,6.31,1,1,452.661
P1,3,0.0,6.31,1,1,558.958
P1,2,0.0,6.31,2,1,295.61
P1,2,0.0,3.162,1,1,498.104
P1,2,0.0,3.162,2,0,528.755
P1,3,0.0,3.162,2,1,812.457
P1,4,0.0,12.589,2,1,487.083
P1,4,0.0,12.589,1,1,400.838
P1,2,0.0,6.31,1,1,310.874
P1,1,0.0,3.162,1,1,543.661
P1,4,0.0,8.913,2,1,484.421
P1,4,0.0,8.913,2,1,508.483
P1,3,0.0,3.162,1,1,395.59
P1,3,0.0,3.162,2,1,401.342
P1,2,0.0,6.31,1,1,399.014
P1,1,0.0,3.162,2,1,339.061
P1,2,0.0,4.467,2,1,1041.249
P1,1,0.0,1.585,1,1,416.91
P1,3,0.0,1.585,2,1,475.362
P1,4,0.0,8.913,1,1,363.252
P1,3,0.0,1.585,2,1,535.223
P1,4,0.0,6.31,2,1,468.862
P1,2,0.0,4.467,2,1,557.637
P1,4,0.0,6.31,1,1,541.725
P1,3,0.0,1.585,2,0,490.076
P1,2,0.0,4.467,1,1,416.366
P1,1,0.0,1.585,1,0,417.189
P1,2,0.0,3.162,2,1,699.064
P1,2,0.0,3.162,2,0,572.981
P1,2,0.0,4.467,2,1,579.653
P1,3,0.0,3.162,1,1,292.28
P1,3,0.0,2.239,2,1,493.142
P1,4,0.0,6.31,1,1,426.146
P1,3,0.0,2.239,2,1,389.109
P1,1,0.0,3.162,2,1,432.987
P1,3,0.0,2.239,1,0,358.792
P1,1,0.0,3.162,1,1,428.237
P1,1,0.0,2.239,1,0,381.748
P1,4,0.0,4.467,1,0,410.186
P1,2,0.0,4.467,1,1,743.6
P1,2,0.0,3.162,2,0,520.89
P1,1,0.0,3.162,2,1,754.15
P1,3,0.0,3.162,2,1,382.413
P1,2,0.0,4.467,2,1,798.183
P1,4,0.0,6.31,1,1,434.582
P1,4,0.0,6.31,1,1,609.506
P1,2,0.0,4.467,2,1,495.782
P1,1,0.0,3.162,1,1,421.71
P1,3,0.0,2.239,2,1,375.18
P1,4,0.0,6.31,1,1,606.566
P1,1,0.0,3.162,1,0,481.156
P1,2,0.0,4.467,1,1,414.673
P1,1,0.0,4.467,1,1,427.741
P1,3,0.0,2.239,1,0,535.811
P1,3,0.0,3.162,1,1,347.824
P1,2,0.0,3.162,1,1,766.191
P1,2,0.0,3.162,2,0,589.919
P1,3,0.0,3.162,2,1,4643.837
P1,2,0.0,4.467,2,1,1131.256
P1,4,0.0,4.467,1,1,325.716
P1,2,0.0,4.467,1,1,540.921
P1,1,0.0,3.162,1,1,458.491
P1,4,0.0,4.467,2,1,492.908
P1,2,0.0,3.162,1,0,509.21
P1,2,0.0,4.467,2,1,1053.445
P1,2,0.0,4.467,1,1,456.977
P1,2,0.0,4.467,2,0,488.717
P1,2,0.0,6.31,2,1,500.464
P1,4,0.0,4.467,2,1,566.402
P1,4,0.0,3.162,2,1,946.95
P1,2,0.0,4.467,2,1,546.269
P1,1,0.0,3.162,2,1,560.177
P1,1,0.0,3.162,1,1,915.953
P1,2,0.0,4.467,1,1,542.016
P1,4,0.0,3.162,1,1,467.239
P1,4,0.0,3.162,2,1,486.803
P1,3,0.0,2.239,2,1,916.119
P1,3,0.0,2.239,2,1,735.521
P1,2,0.0,4.467,2,1,589.747
P1,3,0.0,2.239,1,1,679.082
P1,1,0.0,2.239,2,1,722.405
P1,4,0.0,2.239,1,0,3280.243
P1,3,0.0,1.585,1,1,831.838
P1,2,0.0,3.162,2,1,1294.731
P1,1,0.0,2.239,1,1,737.108
P1,4,0.0,3.162,1,1,688.548
P1,3,0.0,1.585,1,0,432.031
P1,2,0.0,3.162,1,1,480.83
P1,4,0.0,3.162,2,1,483.143
P1,1,0.0,2.239,2,0,458.112
P1,4,0.0,3.162,1,1,489.106
P1,4,0.0,2.239,2,1,408.564
P1,4,0.0,2.239,1,1,500.711
P1,1,0.0,3.162,2,1,496.825
P1,2,0.0,3.162,1,0,485.279
P1,1,0.0,2.239,2,0,533.976
P1,4,0.0,2.239,2,0,466.841
P1,4,0.0,3.162,1,1,501.298
P1,1,0.0,3.162,2,1,516.823
P1,4,0.0,2.239,1,1,359.33
P1,4,0.0,2.239,2,1,403.476
P1,3,0.0,2.239,1,0,402.801
P1,4,0.0,2.239,2,0,382.41
